Techstack,portfolio
"React,Node.js, MongoDB",https://example.com/person1/react-portfolio
"Angular, dotNet, SQL server","https://example.com/person2/Angular, dotNet, SQL server-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/person3/Vue.js, Ruby on Rails, PostgreSQL-portfolio"
"Python, Django, MySQL","https://example.com/person4/Python, Django, MySQL-portfolio"
"Java, Spring Boot, Oracle ","https://example.com/person5/Java, Spring Boot, Oracle -portfolio"
"Flutter, Firebase, GraphQL","https://example.com/person6/Flutter, Firebase, GraphQL-portfolio"
"WordPress, PHP,MySQL","https://example.com/person7/reacWordPress, PHP,MySQLt-portfolio"
"Magento,PHP, MySQL","https://example.com/person8/Magento,PHP, MySQL-portfolio"
"React,Node.js, MongoDB","https://example.com/person9/React,Node.js, MongoDB-portfolio"
"iOS, Swift, Core Data","https://example.com/person10/iOS, Swift, Core Data-portfolio"
"Androd, Java, Room Persistence","https://example.com/person11/Androd, Java, Room Persistence-portfolio"
